item_id,name,critical_short,spillover_new,asterisk,pro,verb_match,adj,np,bio,bio_spr,orig_name,name_lenth,gender,lifetime,lifetime_distractor,orig_life_status,type,tense,mm,orig_list,list,match,bare,orig_bare,nationality,nationality_distractor,occupation,occupation_distractor,Unique_ID,prac_correct,prac_incorrect
2,Richard Nixon,He*has appeared*in prominent*political debates.,His election received international attention.,4,He,has appeared,in prominent,political debates,Richard Nixon was an American politician. He died in New York.,Richard Nixon*was*an American*politician.*He*died*in New York.,Richard Nixon,13,male,dead,alive,dead,critical,PP,deadPP,1,1,no,appear,appear,American,British,politican,activist,12111,crit,crit
2,Richard Nixon,He*appeared*in prominent*political debates.,His election received international attention.,4,He,appeared,in prominent,political debates,Richard Nixon was an American politician. He died in New York.,Richard Nixon*was*an American*politician.*He*died*in New York.,Richard Nixon,13,male,dead,alive,dead,critical,PS,deadPS,2,2,no,appear,appear,American,British,politican,activist,12122,crit,crit
2,Glenn Lockhart,He*has appeared*in prominent*political debates.,His election received international attention.,4,He,has appeared,in prominent,political debates,fake,fake,Glenn Lockhart,14,male,fake,fake,fake,critical,PP,fakePP,,3,no,appear,appear,Australian,Canadian,politican,activist,,crit,crit
2,Glenn Lockhart,He*appeared*in prominent*political debates.,His election received international attention.,4,He,appeared,in prominent,political debates,fake,fake,Glenn Lockhart,14,male,fake,fake,fake,critical,PS,fakePS,,4,no,appear,appear,Australian,Canadian,politican,activist,,crit,crit
2,Justin Trudeau,He*has appeared*in prominent*political debates.,His election received international attention.,4,He,has appeared,in prominent,political debates,Justin Trudeau is a Canadian politician. He lives in Ottawa.,Justin Trudeau*is*a Canadian*politician.*He*lives*in Ottawa.,Justin Trudeau,14,male,alive,dead,living,critical,PP,livingPP,3,5,yes,appear,appear,Canadian,American,politican,activist,12013,crit,crit
2,Justin Trudeau,He*appeared*in prominent*political debates.,His election received international attention.,4,He,appeared,in prominent,political debates,Justin Trudeau is a Canadian politician. He lives in Ottawa.,Justin Trudeau*is*a Canadian*politician.*He*lives*in Ottawa.,Justin Trudeau,14,male,alive,dead,living,critical,PS,livingPS,4,6,yes,appear,appear,Canadian,American,politican,activist,12024,crit,crit
5,Emma Thompson,She*appeared*in popular*classic films.,Critics raved about her romantic comedies.,,She,appeared,in popular,,Emma Thompson is a British actor. She lives in London.,Emma Thompson is a British actor. She lives in London.,Emma Thompson,,female,alive,dead,living,critical,PS,livingPS,,1,,appear,appear,British,Irish,actor,singer,,crit,crit
5,Marilyn Monroe,She*has appeared*in popular*classic films.,Critics raved about her romantic comedies.,,She,has appeared,in popular,,Marilyn Monroe was an American actor. She died in Los Angeles.,Marilyn Monroe was an American actor. She died in Los Angeles.,Marilyn Monroe,,female,dead,alive,dead,critical,PP,deadPP,,2,,appear,appear,British,Irish,actor,singer,,crit,crit
5,Marilyn Monroe,She*appeared*in popular*classic films.,Critics raved about her romantic comedies.,,She,appeared,in popular,,Marilyn Monroe was an American actor. She died in Los Angeles.,Marilyn Monroe was an American actor. She died in Los Angeles.,Marilyn Monroe,,female,dead,alive,dead,critical,PS,deadPS,,3,yes,appear,appear,British,Irish,actor,singer,,crit,crit
5,Natasha Fonseka,She*has appeared*in popular*classic films.,Critics raved about her romantic comedies.,,She,has appeared,in popular,,fake,fake,Natasha Fonseka,,female,fake,fake,fake,critical,PP,fakePP,,4,,appear,appear,British,Irish,actor,singer,,crit,crit
5,Natasha Fonseka,She*appeared*in popular*classic films.,Critics raved about her romantic comedies.,,She,appeared,in popular,,fake,fake,Natasha Fonseka,,female,fake,fake,fake,critical,PS,fakePS,,5,,appear,appear,British,Irish,actor,singer,,crit,crit
5,Emma Thompson,She*has appeared*in popular*classic films.,Critics raved about her romantic comedies.,,She,has appeared,in popular,,Emma Thompson is a British actor. She lives in London.,Emma Thompson is a British actor. She lives in London.,Emma Thompson,,female,alive,dead,living,critical,PP,livingPP,,6,,appear,appear,British,Irish,actor,singer,,crit,crit
6,Queen Elizabeth II,She*has appeared*in prominent*public events.,The press celebrated her first royal tour.,,She,has appeared,in prominent,,Queen Elizabeth II is a British royal. She lives in London.,Queen Elizabeth II is a British royal. She lives in London.,Queen Elizabeth II,,female,alive,dead,living,critical,PP,livingPP,,1,,appear,appear,British,Swedish,royal,activist,,crit,crit
6,Queen Elizabeth II,She*appeared*in prominent*public events.,The press celebrated her first royal tour.,,She,appeared,in prominent,,Queen Elizabeth II is a British royal. She lives in London.,Queen Elizabeth II is a British royal. She lives in London.,Queen Elizabeth II,,female,alive,dead,living,critical,PS,livingPS,,2,,appear,appear,British,Swedish,royal,activist,,crit,crit
6,Queen Mum,She*has appeared*in prominent*public events.,The press celebrated her first royal tour.,,She,has appeared,in prominent,,Queen Mum was a British royal. She died in Windsor Castle.,Queen Mum was a British royal. She died in Windsor Castle.,Queen Mum,,female,dead,alive,dead,critical,PP,deadPP,,3,,appear,appear,British,Swedish,royal,activist,,crit,crit
6,Queen Mum,She*appeared*in prominent*public events.,The press celebrated her first royal tour.,,She,appeared,in prominent,,Queen Mum was a British royal. She died in Windsor Castle.,Queen Mum was a British royal. She died in Windsor Castle.,Queen Mum,,female,dead,alive,dead,critical,PS,deadPS,,4,yes,appear,appear,British,Swedish,royal,activist,,crit,crit
6,Jenn Derksen,She*has appeared*in prominent*public events.,The press celebrated her first royal tour.,,She,has appeared,in prominent,,fake,fake,Jenn Derksen,,female,fake,fake,fake,critical,PP,fakePP,,5,,appear,appear,British,Swedish,royal,activist,,crit,crit
6,Jenn Derksen,She*appeared*in prominent*public events.,The press celebrated her first royal tour.,,She,appeared,in prominent,,fake,fake,Jenn Derksen,,female,fake,fake,fake,critical,PS,fakePS,,6,,appear,appear,British,Swedish,royal,activist,,crit,crit
10,Jim Jimmy,He*performed*in numerous*music festivals.,His musical talents began at an early age.,4,He,performed,in numerous,music festivals,fake,fake,Jim Jimmy,9,male,fake,fake,fake,critical,PS,fakePS,,1,no,perform,perform,American,British,musician,writer,,crit,crit
10,Elton John,He*has performed*in numerous*music festivals.,His musical talents began at an early age.,4,He,has performed,in numerous,music festivals,Elton John is an English musician. He lives in Windsor.,Elton John*is*an English*musician.*He*lives*in Windsor.,Elton John,10,male,alive,dead,living,critical,PP,livingPP,1,2,yes,perform,perform,British,American,musician,writer,110013,crit,crit
10,Elton John,He*performed*in numerous*music festivals.,His musical talents began at an early age.,4,He,performed,in numerous,music festivals,Elton John is an English musician. He lives in Windsor.,Elton John*is*an English*musician.*He*lives*in Windsor.,Elton John,10,male,alive,dead,living,critical,PS,livingPS,2,3,yes,perform,perform,British,American,musician,writer,110024,crit,crit
10,Jimi Hendrix,He*has performed*in numerous*music festivals.,His musical talents began at an early age.,4,He,has performed,in numerous,music festivals,Jimi Hendrix was an American musician. He died in London.,Jimi Hendrix*was*an American*musician.*He*died*in London.,Jimi Hendrix,12,male,dead,alive,dead,critical,PP,deadPP,3,4,no,perform,perform,American,British,musician,writer,110111,crit,crit
10,Jimi Hendrix,He*performed*in numerous*music festivals.,His musical talents began at an early age.,4,He,performed,in numerous,music festivals,Jimi Hendrix was an American musician. He died in London.,Jimi Hendrix*was*an American*musician.*He*died*in London.,Jimi Hendrix,12,male,dead,alive,dead,critical,PS,deadPS,4,5,no,perform,perform,American,British,musician,writer,110122,crit,crit
10,Jim Jimmy,He*has performed*in numerous*music festivals.,His musical talents began at an early age.,4,He,has performed,in numerous,music festivals,fake,fake,Jim Jimmy,9,male,fake,fake,fake,critical,PP,fakePP,,6,no,perform,perform,American,British,musician,writer,,crit,crit
13,Kim McDermid,She*has performed*in prestigious*arenas.,Her songs are recognised around the world.,4,She,has performed,in prestigious,arenas,fake,fake,Kim McDermid,12,female,fake,fake,fake,critical,PP,fakePP,,1,yes,perform,perform,American,British,singer,actor,,crit,crit
13,Kim McDermid,She*performed*in prestigious*arenas.,Her songs are recognised around the world.,4,She,performed,in prestigious,arenas,fake,fake,Kim McDermid,12,female,fake,fake,fake,critical,PS,fakePS,,2,yes,perform,perform,American,British,singer,actor,,crit,crit
13,Beyoncé,She*has performed*in prestigious*arenas.,Her songs are recognised around the world.,4,She,has performed,in prestigious,arenas,Beyoncé is an American singer. She lives in Los Angeles.,Beyoncé*is*an American*singer.*She*lives*in Los Angeles.,Beyoncé,7,female,alive,dead,living,critical,PP,livingPP,2,3,yes,perform,perform,American,British,singer,actor,113011,crit,crit
13,Beyoncé,She*performed*in prestigious*arenas.,Her songs are recognised around the world.,4,She,performed,in prestigious,arenas,Beyoncé is an American singer. She lives in Los Angeles.,Beyoncé*is*an American*singer.*She*lives*in Los Angeles.,Beyoncé,7,female,alive,dead,living,critical,PS,livingPS,3,4,yes,perform,perform,American,British,singer,actor,113022,crit,crit
13,Amy Winehouse,She*has performed*in prestigious*arenas.,Her songs are recognised around the world.,4,She,has performed,in prestigious,arenas,Amy Winehouse was a British singer. She died in London.,Amy Winehouse*was*a British*singer.*She*died*in London.,Amy Winehouse,13,female,dead,alive,dead,critical,PP,deadPP,4,5,no,perform,perform,British,American,singer,actor,113113,crit,crit
13,Amy Winehouse,She*performed*in prestigious*arenas.,Her songs are recognised around the world.,4,She,performed,in prestigious,arenas,Amy Winehouse was a British singer. She died in London.,Amy Winehouse*was*a British*singer.*She*died*in London.,Amy Winehouse,13,female,dead,alive,dead,critical,PS,deadPS,1,6,no,perform,perform,British,American,singer,actor,113124,crit,crit
16,Edith Piaf,She*performed*in prestigious*concert halls.,Her debut album earned her early success.,,She,performed,in prestigious,,Edith Piaf was a French singer. She died in Marseilles.,Edith Piaf was a French singer. She died in Marseilles.,Edith Piaf,,female,dead,alive,dead,critical,PS,deadPS,,1,yes,perform,perform,French,German,singer,politican,,crit,crit
16,Nancy Creer,She*has performed*in prestigious*concert halls.,Her debut album earned her early success.,,She,has performed,in prestigious,,fake,fake,Nancy Creer,,female,fake,fake,fake,critical,PP,fakePP,,2,,perform,perform,French,German,singer,politican,,crit,crit
16,Nancy Creer,She*performed*in prestigious*concert halls.,Her debut album earned her early success.,,She,performed,in prestigious,,fake,fake,Nancy Creer,,female,fake,fake,fake,critical,PS,fakePS,,3,,perform,perform,French,German,singer,politican,,crit,crit
16,Adele,She*has performed*in prestigious*concert halls.,Her debut album earned her early success.,,She,has performed,in prestigious,,Adele is a British singer. She lives in London.,Adele is a British singer. She lives in London.,Adele,,female,alive,dead,living,critical,PP,livingPP,,4,,perform,perform,British,French,singer,politican,,crit,crit
16,Adele,She*performed*in prestigious*concert halls.,Her debut album earned her early success.,,She,performed,in prestigious,,Adele is a British singer. She lives in London.,Adele is a British singer. She lives in London.,Adele,,female,alive,dead,living,critical,PS,livingPS,,5,,perform,perform,British,French,singer,politican,,crit,crit
16,Edith Piaf,She*has performed*in prestigious*concert halls.,Her debut album earned her early success.,,She,has performed,in prestigious,,Edith Piaf was a French singer. She died in Marseilles.,Edith Piaf was a French singer. She died in Marseilles.,Edith Piaf,,female,dead,alive,dead,critical,PP,deadPP,,6,,perform,perform,French,German,singer,politican,,crit,crit
18,Audrey Hepburn,She*has played*in prominent*theatres.,Audiences loved her breakthrough role.,,She,has played,in prominent,,Audrey Hepburn was a British actor. She died in Switzerland.,Audrey Hepburn was a British actor. She died in Switzerland.,Audrey Hepburn,,female,dead,alive,dead,critical,PP,deadPP,,1,,play,play,British,Australian,actor,activist,,crit,crit
18,Audrey Hepburn,She*played*in prominent*theatres.,Audiences loved her breakthrough role.,,She,played,in prominent,,Audrey Hepburn was a British actor. She died in Switzerland.,Audrey Hepburn was a British actor. She died in Switzerland.,Audrey Hepburn,,female,dead,alive,dead,critical,PS,deadPS,,2,yes,play,play,British,Australian,actor,activist,,crit,crit
18,Millicent Stone,She*has played*in prominent*theatres.,Audiences loved her breakthrough role.,,She,has played,in prominent,,fake,fake,Millicent Stone,,female,fake,fake,fake,critical,PP,fakePP,,3,,play,play,British,Australian,actor,activist,,crit,crit
18,Millicent Stone,She*played*in prominent*theatres.,Audiences loved her breakthrough role.,,She,played,in prominent,,fake,fake,Millicent Stone,,female,fake,fake,fake,critical,PS,fakePS,,4,,play,play,British,Australian,actor,activist,,crit,crit
18,Maggie Smith,She*has played*in prominent*theatres.,Audiences loved her breakthrough role.,,She,has played,in prominent,,Maggie Smith is a British actor. She lives in London.,Maggie Smith is a British actor. She lives in London.,Maggie Smith,,female,alive,dead,living,critical,PP,livingPP,,5,,play,play,British,Australian,actor,activist,,crit,crit
18,Maggie Smith,She*played*in prominent*theatres.,Audiences loved her breakthrough role.,,She,played,in prominent,,Maggie Smith is a British actor. She lives in London.,Maggie Smith is a British actor. She lives in London.,Maggie Smith,,female,alive,dead,living,critical,PS,livingPS,,6,,play,play,British,Australian,actor,activist,,crit,crit
22,Mick Jagger,He*played*numerous*concerts.,His early stage performances were legendary.,4,He,played,numerous,concerts,Mick Jagger is a British singer. He lives in London.,Mick Jagger*is*a British*singer.*He*lives*in London.,Mick Jagger,11,male,alive,dead,living,critical,PS,livingPS,4,1,yes,play,play,British,American,singer,actor,122024,crit,crit
22,David Bowie,He*has played*numerous*concerts.,His early stage performances were legendary.,4,He,has played,numerous,concerts,David Bowie was a British singer. He died in New York.,David Bowie*was*a British*singer.*He*died*in New York.,David Bowie,11,male,dead,alive,dead,critical,PP,deadPP,1,2,no,play,play,British,American,singer,actor,122111,crit,crit
22,David Bowie,He*played*numerous*concerts.,His early stage performances were legendary.,4,He,played,numerous,concerts,David Bowie was a British singer. He died in New York.,David Bowie*was*a British*singer.*He*died*in New York.,David Bowie,11,male,dead,alive,dead,critical,PS,deadPS,2,3,no,play,play,British,American,singer,actor,122122,crit,crit
22,Mack McKay,He*has played*numerous*concerts.,His early stage performances were legendary.,4,He,has played,numerous,concerts,fake,fake,Mack McKay,10,male,fake,fake,fake,critical,PP,fakePP,,4,yes,play,play,British,American,singer,actor,,crit,crit
22,Mack McKay,He*played*numerous*concerts.,His early stage performances were legendary.,4,He,played,numerous,concerts,fake,fake,Mack McKay,10,male,fake,fake,fake,critical,PS,fakePS,,5,yes,play,play,British,American,singer,actor,,crit,crit
22,Mick Jagger,He*has played*numerous*concerts.,His early stage performances were legendary.,4,He,has played,numerous,concerts,Mick Jagger is a British singer. He lives in London.,Mick Jagger*is*a British*singer.*He*lives*in London.,Mick Jagger,11,male,alive,dead,living,critical,PP,livingPP,3,6,yes,play,play,British,American,singer,actor,122013,crit,crit
23,Janet Jackson,She*has played*in numerous*packed arenas.,Teenagers copied her early fashion.,4,She,has played,in numerous,packed arenas,Janet Jackson is an American singer. She lives in Los Angeles.,Janet Jackson*is*an American*singer.*She*lives*in Los Angeles.,Janet Jackson,13,female,alive,dead,living,critical,PP,livingPP,4,1,yes,play,play,American,Canadian,singer,writer,123012,crit,crit
23,Janet Jackson,She*played*in numerous*packed arenas.,Teenagers copied her early fashion.,4,She,played,in numerous,packed arenas,Janet Jackson is an American singer. She lives in Los Angeles.,Janet Jackson*is*an American*singer.*She*lives*in Los Angeles.,Janet Jackson,13,female,alive,dead,living,critical,PS,livingPS,1,2,yes,play,play,American,Canadian,singer,writer,123021,crit,crit
23,Janis Joplin,She*has played*in numerous*packed arenas.,Teenagers copied her early fashion.,4,She,has played,in numerous,packed arenas,Janis Joplin was an American singer. She died in Los Angeles.,Janis Joplin*was*an American*singer.*She*died*in Los Angeles.,Janis Joplin,12,female,dead,alive,dead,critical,PP,deadPP,2,3,no,play,play,American,Canadian,singer,writer,123114,crit,crit
23,Janis Joplin,She*played*in numerous*packed arenas.,Teenagers copied her early fashion.,4,She,played,in numerous,packed arenas,Janis Joplin was an American singer. She died in Los Angeles.,Janis Joplin*was*an American*singer.*She*died*in Los Angeles.,Janis Joplin,12,female,dead,alive,dead,critical,PS,deadPS,3,4,no,play,play,American,Canadian,singer,writer,123123,crit,crit
23,Jackie Lang,She*has played*in numerous*packed arenas.,Teenagers copied her early fashion.,4,She,has played,in numerous,packed arenas,fake,fake,Jackie Lang,11,female,fake,fake,fake,critical,PP,fakePP,,5,yes,play,play,American,Canadian,singer,writer,,crit,crit
23,Jackie Lang,She*played*in numerous*packed arenas.,Teenagers copied her early fashion.,4,She,played,in numerous,packed arenas,fake,fake,Jackie Lang,11,female,fake,fake,fake,critical,PS,fakePS,,6,yes,play,play,American,Canadian,singer,writer,,crit,crit
26,Angela Cinelli,She*received*well-deserved*Oscar nominations.,Tabloids followed her early dating life.,,,,well-deserved,,fake,fake,Angela Cinelli,,female,fake,fake,fake,critical,PS,fakePS,,1,,receive,receive,British,Swedish,actor,activist,,crit,crit
26,Emily Blunt,She*has received*well-deserved*Oscar nominations.,Tabloids followed her early dating life.,,,,well-deserved,,Emily Blunt is a British actor. She lives in Los Angeles.,Emily Blunt is a British actor. She lives in Los Angeles.,Emily Blunt,,female,alive,dead,living,critical,PP,livingPP,,2,yes,receive,receive,British,Swedish,actor,activist,126013,crit,crit
26,Emily Blunt,She*received*well-deserved*Oscar nominations.,Tabloids followed her early dating life.,,,,well-deserved,,Emily Blunt is a British actor. She lives in Los Angeles.,Emily Blunt is a British actor. She lives in Los Angeles.,Emily Blunt,,female,alive,dead,living,critical,PS,livingPS,,3,yes,receive,receive,British,Swedish,actor,activist,126024,crit,crit
26,Diana Rigg,She*has received*well-deserved*Oscar nominations.,Tabloids followed her early dating life.,,,,well-deserved,,Diana Rigg was a British actor. She died in London.,Diana Rigg was a British actor. She died in London.,Carrie Fischer,,female,dead,alive,dead,critical,PP,deadPP,,4,no,receive,receive,British,Swedish,actor,activist,126111,crit,crit
26,Diana Rigg,She*received*well-deserved*Oscar nominations.,Tabloids followed her early dating life.,,,,well-deserved,,Diana Rigg was a British actor. She died in London.,Diana Rigg was a British actor. She died in London.,Carrie Fischer,,male,dead,alive,dead,critical,PS,deadPS,,5,no,receive,receive,British,Swedish,actor,activist,126122,crit,crit
26,Angela Cinelli,She*has received*well-deserved*Oscar nominations.,Tabloids followed her early dating life.,,,,well-deserved,,fake,fake,Angela Cinelli,,female,fake,fake,fake,critical,PP,fakePP,,6,,receive,receive,British,Swedish,actor,activist,,crit,crit
